,apprehended,cbp_load,transferred_out,hhs_load,discharged,total_system_load,CBP Custody net change,HHS Net Flow,CBP daily status,HHS daily status,sustained_high_load,hhs_load_7d_avg,hhs_load_14d_avg,hhs_load_volatility,in_strain_window
2023-01-12,33.0,53.0,34.0,6566.0,436.0,6619.0,1.0,402.0,Relief,Relief,False,6566.0,6566.0,,False
2023-01-13,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-14,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-15,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-16,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-17,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-18,,,,,,,,,No Data,No Data,False,6566.0,6566.0,,False
2023-01-19,,,,,,,,,No Data,No Data,False,,6566.0,,False
2023-01-20,,,,,,,,,No Data,No Data,False,,6566.0,,False
2023-01-21,,,,,,,,,No Data,No Data,False,,6566.0,,False
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7171.0,7.0,188.0,Relief,Relief,False,7122.0,6844.0,,False
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7330.0,7.0,142.0,Relief,Relief,False,7201.0,6989.333333333333,111.72287142747452,False
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7475.0,0.0,128.0,Relief,Relief,False,7278.333333333333,7100.25,155.5066986767238,False
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7560.0,21.0,139.0,Relief,Relief,False,7343.25,7187.8,181.59914647376524,False
2023-01-26,,,,,,,,,No Data,No Data,False,7343.25,7343.25,181.59914647376524,False
2023-01-27,,,,,,,,,No Data,No Data,False,7343.25,7343.25,181.59914647376524,False
2023-01-28,,,,,,,,,No Data,No Data,False,7343.25,7343.25,181.59914647376524,False
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7517.0,-12.0,292.0,Stress,Relief,False,7430.75,7369.0,109.44519176281818,False
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7797.0,-5.0,167.0,Stress,Relief,False,7546.5,7431.333333333333,137.98188286873042,False
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7839.0,10.0,122.0,Relief,Relief,False,7639.0,7484.428571428572,158.9570172509959,False
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7935.0,2.0,204.0,Relief,Relief,False,7730.25,7536.75,184.38252809490032,False
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7892.0,8.0,275.0,Relief,Relief,False,7760.0,7574.777777777777,172.98265809034163,False
2023-02-03,,,,,,,,,No Data,No Data,False,7760.0,7574.777777777777,172.98265809034163,False
2023-02-04,,,,,,,,,No Data,No Data,False,7760.0,7574.777777777777,172.98265809034163,False
2023-02-05,16.0,18.0,15.0,7586.0,342.0,7604.0,-1.0,327.0,Stress,Relief,False,7782.8,7626.333333333333,126.91020447544808,False
2023-02-06,11.0,22.0,12.0,7720.0,196.0,7742.0,1.0,184.0,Relief,Relief,False,7778.2,7675.222222222223,129.1111923885766,False
2023-02-07,16.0,20.0,20.0,7855.0,200.0,7875.0,4.0,180.0,Relief,Relief,False,7788.6,7722.111111111111,133.623725438262,False
2023-02-08,93.0,196.0,169.0,7915.0,317.0,8111.0,76.0,148.0,Relief,Relief,False,7791.0,7764.0,136.27362180554255,False
2023-02-09,124.0,234.0,161.0,7908.0,353.0,8142.0,37.0,192.0,Relief,Relief,False,7796.8,7778.4,141.4733190393158,False
2023-02-10,,,,,,,,,No Data,No Data,False,7796.8,7778.4,141.4733190393158,False
2023-02-11,,,,,,,,,No Data,No Data,False,7796.8,7778.4,141.4733190393158,False
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7637.0,81.0,144.0,Relief,Relief,False,7766.4,7774.6,201.63407450131038,False
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7742.0,-14.0,72.0,Stress,Relief,False,7719.0,7748.6,239.55896977571095,False
2023-02-14,154.0,225.0,220.0,7794.0,223.0,8019.0,66.0,3.0,Relief,Relief,False,7706.8,7747.7,232.3460780818131,False
2023-02-15,91.0,199.0,172.0,7869.0,290.0,8068.0,81.0,118.0,Relief,Relief,False,7697.6,7744.3,222.75390007809062,False
2023-02-16,81.0,213.0,153.0,7793.0,361.0,8006.0,72.0,208.0,Relief,Relief,False,7674.6,7735.7,200.41531877578618,False
2023-02-17,,,,,,,,,No Data,No Data,False,7674.6,7735.7,200.41531877578618,False
2023-02-18,,,,,,,,,No Data,No Data,False,7674.6,7735.7,200.41531877578618,False
2023-02-19,,,,,,,,,No Data,No Data,False,7734.75,7752.333333333333,171.56607084929882,False
2023-02-20,209.0,285.0,184.0,7817.0,209.0,8102.0,-25.0,25.0,Stress,Relief,False,7818.25,7763.111111111111,35.60313656594405,False
2023-02-21,184.0,314.0,217.0,7967.0,213.0,8281.0,33.0,-4.0,Relief,Stress,False,7861.5,7775.555555555556,77.15568676384095,False
2023-02-22,107.0,215.0,230.0,7978.0,232.0,8193.0,123.0,2.0,Relief,Relief,False,7888.75,7782.555555555556,97.30493307124743,False
2023-02-23,101.0,162.0,178.0,7914.0,386.0,8076.0,77.0,208.0,Relief,Relief,False,7919.0,7783.222222222223,73.51643807113209,False
2023-02-24,,,,,,,,,No Data,No Data,False,7919.0,7783.222222222223,73.51643807113209,False
2023-02-25,,,,,,,,,No Data,No Data,False,7919.0,7783.222222222223,73.51643807113209,False
2023-02-26,99.0,190.0,176.0,7609.0,323.0,7799.0,77.0,147.0,Relief,Relief,False,7857.0,7802.666666666667,152.5565468932748,False
2023-02-27,167.0,239.0,166.0,7800.0,248.0,8039.0,-1.0,82.0,Stress,Relief,False,7853.6,7837.888888888889,153.85480168002542,False
2023-02-28,115.0,216.0,169.0,7896.0,200.0,8112.0,54.0,31.0,Relief,Relief,False,7839.4,7849.222222222223,143.71429991479613,False
2023-03-01,84.0,158.0,193.0,7930.0,307.0,8088.0,109.0,114.0,Relief,Relief,False,7829.8,7856.0,133.3724109401939,False
2023-03-02,130.0,227.0,192.0,7870.0,335.0,8097.0,62.0,143.0,Relief,Relief,False,7821.0,7864.555555555556,127.76149654727733,False
2023-03-03,,,,,,,,,No Data,No Data,False,7821.0,7864.555555555556,127.76149654727733,False
2023-03-04,,,,,,,,,No Data,No Data,False,7821.0,7864.555555555556,127.76149654727733,False
2023-03-05,,,,,,,,,No Data,No Data,False,7874.0,7864.555555555556,55.11200716117385,False
2023-03-06,,,,,,,,,No Data,No Data,False,7898.666666666667,7870.5,30.08875759038978,False
2023-03-07,88.0,214.0,160.0,7859.0,259.0,8073.0,72.0,99.0,Relief,Relief,False,7886.333333333333,7857.0,38.214307966169315,False
2023-03-08,113.0,208.0,159.0,7885.0,291.0,8093.0,46.0,132.0,Relief,Relief,False,7871.333333333333,7845.375,13.051181300297104,False
2023-03-09,174.0,285.0,150.0,7786.0,340.0,8071.0,-24.0,190.0,Stress,Relief,False,7843.333333333333,7829.375,51.32575701665989,False
2023-03-10,,,,,,,,,No Data,No Data,False,7843.333333333333,7829.375,51.32575701665989,False
2023-03-11,,,,,,,,,No Data,No Data,False,7843.333333333333,7829.375,51.32575701665989,False
2023-03-12,,,,,,,,,No Data,No Data,False,7843.333333333333,7860.857142857143,51.32575701665989,False
2023-03-13,104.0,230.0,206.0,7567.0,249.0,7797.0,102.0,43.0,Relief,Relief,False,7774.25,7827.571428571428,144.3823050099973,False
2023-03-14,147.0,276.0,214.0,7810.0,181.0,8086.0,67.0,-33.0,Relief,Stress,False,7762.0,7815.285714285715,136.66747967237816,False
2023-03-15,108.0,220.0,213.0,7915.0,286.0,8135.0,105.0,73.0,Relief,Relief,False,7769.5,7813.142857142857,146.16087027655487,False
2023-03-16,180.0,280.0,146.0,7989.0,308.0,8269.0,-34.0,162.0,Stress,Relief,False,7820.25,7830.142857142857,184.11477398622822,False
2023-03-17,,,,,,,,,No Data,No Data,False,7820.25,7830.142857142857,184.11477398622822,False
2023-03-18,,,,,,,,,No Data,No Data,False,7820.25,7830.142857142857,184.11477398622822,False
2023-03-19,134.0,294.0,186.0,7885.0,306.0,8179.0,52.0,120.0,Relief,Relief,False,7833.2,7837.0,162.05616310402985,False
2023-03-20,202.0,313.0,158.0,7931.0,279.0,8244.0,-44.0,121.0,Stress,Relief,False,7906.0,7847.444444444444,65.67343450741663,False
2023-03-21,110.0,272.0,193.0,8050.0,221.0,8322.0,83.0,28.0,Relief,Relief,False,7954.0,7868.666666666667,65.67343450741663,False
2023-03-22,166.0,277.0,229.0,8097.0,246.0,8374.0,63.0,17.0,Relief,Relief,False,7990.4,7892.222222222223,85.95812934213933,False
2023-03-23,136.0,276.0,178.0,8102.0,331.0,8378.0,42.0,153.0,Relief,Relief,False,8013.0,7927.333333333333,99.31515493619266,False
2023-03-24,,,,,,,,,No Data,No Data,False,8013.0,7927.333333333333,99.31515493619266,False
2023-03-25,,,,,,,,,No Data,No Data,False,8013.0,7927.333333333333,99.31515493619266,False
